Area,Country code,Year,Area type,Variable,Unit,Value
Argentina,ARG,2024,Country,Clean,%,38.9
Armenia,ARM,2024,Country,Clean,%,60.18
Australia,AUS,2024,Country,Clean,%,35.49
Austria,AUT,2024,Country,Clean,%,86.92
Azerbaijan,AZE,2024,Country,Clean,%,11.96
Bangladesh,BGD,2024,Country,Clean,%,2.03
Belarus,BLR,2024,Country,Clean,%,39.62
Belgium,BEL,2024,Country,Clean,%,77.81
Bolivia,BOL,2024,Country,Clean,%,37.98
Bosnia Herzegovina,BIH,2024,Country,Clean,%,36.87
Brazil,BRA,2024,Country,Clean,%,89.83
Bulgaria,BGR,2024,Country,Clean,%,72.87
Cambodia,KHM,2024,Country,Clean,%,40.71
Canada,CAN,2024,Country,Clean,%,79.27
Chile,CHL,2024,Country,Clean,%,69.9
China,CHN,2024,Country,Clean,%,38.05
Colombia,COL,2024,Country,Clean,%,64.36
Costa Rica,CRI,2024,Country,Clean,%,94.02
Croatia,HRV,2024,Country,Clean,%,72.85
Cyprus,CYP,2024,Country,Clean,%,23.78
Czechia,CZE,2024,Country,Clean,%,57.85
Denmark,DNK,2024,Country,Clean,%,87.99
Dominican Republic,DOM,2024,Country,Clean,%,18.62
Ecuador,ECU,2024,Country,Clean,%,71.67
Egypt,EGY,2024,Country,Clean,%,10.86
El Salvador,SLV,2024,Country,Clean,%,92.19
Estonia,EST,2024,Country,Clean,%,56.53
Finland,FIN,2024,Country,Clean,%,94.51
France,FRA,2024,Country,Clean,%,94.25
Georgia,GEO,2024,Country,Clean,%,80.15
Germany,DEU,2024,Country,Clean,%,57.45
Greece,GRC,2024,Country,Clean,%,49.77
Hungary,HUN,2024,Country,Clean,%,73.78
India,IND,2024,Country,Clean,%,22.46
Iran,IRN,2024,Country,Clean,%,7.88
Ireland,IRL,2024,Country,Clean,%,45.32
Italy,ITA,2024,Country,Clean,%,49.42
Japan,JPN,2024,Country,Clean,%,31.5
Kazakhstan,KAZ,2024,Country,Clean,%,15.07
Kenya,KEN,2024,Country,Clean,%,91.04
Kosovo,XKX,2024,Country,Clean,%,7.51
Kuwait,KWT,2024,Country,Clean,%,2.18
Kyrgyzstan,KGZ,2024,Country,Clean,%,84.14
Latvia,LVA,2024,Country,Clean,%,73.94
Lithuania,LTU,2024,Country,Clean,%,80.33
Luxembourg,LUX,2024,Country,Clean,%,90.38
Malaysia,MYS,2024,Country,Clean,%,18.91
Malta,MLT,2024,Country,Clean,%,16.74
Mexico,MEX,2024,Country,Clean,%,25.33
Moldova,MDA,2024,Country,Clean,%,11.45
Mongolia,MNG,2024,Country,Clean,%,9.67
Montenegro,MNE,2024,Country,Clean,%,60.27
Morocco,MAR,2024,Country,Clean,%,27.46
Myanmar,MMR,2024,Country,Clean,%,39.23
Netherlands,NLD,2024,Country,Clean,%,53.71
New Zealand,NZL,2024,Country,Clean,%,85.07
Nigeria,NGA,2024,Country,Clean,%,23.03
North Macedonia,MKD,2024,Country,Clean,%,32.82
Norway,NOR,2024,Country,Clean,%,98.39
Oman,OMN,2024,Country,Clean,%,4.2
Pakistan,PAK,2024,Country,Clean,%,46.55
Peru,PER,2024,Country,Clean,%,59.28
Poland,POL,2024,Country,Clean,%,29.71
Portugal,PRT,2024,Country,Clean,%,85.18
Puerto Rico,PRI,2024,Country,Clean,%,5.82
Qatar,QAT,2024,Country,Clean,%,0.24
Romania,ROU,2024,Country,Clean,%,68.05
Russia,RUS,2024,Country,Clean,%,35.94
Serbia,SRB,2024,Country,Clean,%,31.01
Singapore,SGP,2024,Country,Clean,%,4.91
Slovakia,SVK,2024,Country,Clean,%,86.05
Slovenia,SVN,2024,Country,Clean,%,76.18
South Africa,ZAF,2024,Country,Clean,%,16.65
South Korea,KOR,2024,Country,Clean,%,39.92
Spain,ESP,2024,Country,Clean,%,76.76
Sri Lanka,LKA,2024,Country,Clean,%,55.23
Sweden,SWE,2024,Country,Clean,%,98.65
Switzerland,CHE,2024,Country,Clean,%,98.07
Taiwan,TWN,2024,Country,Clean,%,15.57
Tajikistan,TJK,2024,Country,Clean,%,89.7
Thailand,THA,2024,Country,Clean,%,14.82
The Philippines,PHL,2024,Country,Clean,%,21.03
Tunisia,TUN,2024,Country,Clean,%,3.99
TÃ¼rkiye,TUR,2024,Country,Clean,%,45.62
United Kingdom,GBR,2024,Country,Clean,%,66.24
United States,USA,2024,Country,Clean,%,41.92
Uruguay,URY,2024,Country,Clean,%,94.61
Viet Nam,VNM,2024,Country,Clean,%,43.65
